"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_GH"
"2017-06-22","8:45","4","1"
"2017-06-22","9:0","4","0"
"2017-06-22","9:15","4","17"
"2017-06-22","9:30","3","0"
"2017-06-22","9:45","3","12"
"2017-06-23","0:0","0","0"
"2017-06-23","0:15","0","0"
"2017-06-23","0:30","0","0"
"2017-06-23","0:45","0","0"
"2017-06-23","10:0","2","0"
"2017-06-23","10:15","2","0"
"2017-06-23","10:30","1","0"
"2017-06-23","10:45","1","1"
"2017-06-23","11:0","1","0"
"2017-06-23","11:15","1","4"
"2017-06-23","11:30","1","2"
"2017-06-23","11:45","1","0"
"2017-06-23","12:0","1","50"
"2017-06-23","12:15","1","6"
"2017-06-23","12:30","1","0"
"2017-06-23","12:45","1","0"
"2017-06-23","13:0","1","94"
"2017-06-23","13:15","1","14"
"2017-06-23","13:30","1","3"
"2017-06-23","13:45","1","0"
"2017-06-23","14:0","1","0"
"2017-06-23","14:15","1","3"
"2017-06-23","14:30","1","0"
"2017-06-23","14:45","1","0"
"2017-06-23","15:0","1","0"
"2017-06-23","15:15","1","2"
"2017-06-23","15:30","1","0"
"2017-06-23","15:45","1","0"
"2017-06-23","16:0","1","0"
"2017-06-23","16:15","1","0"
"2017-06-23","16:30","1","0"
"2017-06-23","16:45","1","2"
"2017-06-23","17:0","1","0"
"2017-06-23","17:15","1","12"
"2017-06-23","17:30","1","22"
"2017-06-23","17:45","1","1"
"2017-06-23","18:0","1","0"
"2017-06-23","18:15","1","0"
"2017-06-23","18:30","1","0"
"2017-06-23","18:45","1","0"
"2017-06-23","19:0","1","6"
"2017-06-23","19:15","1","0"
"2017-06-23","19:30","1","0"
"2017-06-23","19:45","1","0"
"2017-06-23","1:0","0","0"
"2017-06-23","1:15","0","0"
"2017-06-23","1:30","0","0"
"2017-06-23","1:45","0","0"
"2017-06-23","20:0","1","1"
"2017-06-23","20:15","1","10"
"2017-06-23","20:30","1","4"
"2017-06-23","20:45","1","0"
"2017-06-23","21:0","1","0"
"2017-06-23","21:15","1","0"
"2017-06-23","21:30","1","0"
"2017-06-23","21:45","1","0"
"2017-06-23","22:0","1","0"
"2017-06-23","22:15","1","9"
"2017-06-23","22:30","1","10"
"2017-06-23","22:45","1","0"
"2017-06-23","23:0","1","0"
"2017-06-23","23:15","1","0"
"2017-06-23","23:30","0","0"
"2017-06-23","23:45","0","0"
"2017-06-23","2:0","0","0"
"2017-06-23","2:15","0","0"
"2017-06-23","2:30","0","0"
"2017-06-23","2:45","0","0"
"2017-06-23","3:0","0","0"
"2017-06-23","3:15","0","0"
"2017-06-23","3:30","0","0"
"2017-06-23","3:45","0","0"
"2017-06-23","4:0","0","0"
"2017-06-23","4:15","0","0"
"2017-06-23","4:30","1","0"
"2017-06-23","4:45","1","0"
"2017-06-23","5:0","1","0"
"2017-06-23","5:15","1","0"
"2017-06-23","5:30","1","0"
"2017-06-23","5:45","1","0"
"2017-06-23","6:0","2","0"
"2017-06-23","6:15","2","0"
"2017-06-23","6:30","3","0"
"2017-06-23","6:45","3","41"
"2017-06-23","7:0","3","9"
"2017-06-23","7:15","3","20"
"2017-06-23","7:30","3","8"
"2017-06-23","7:45","3","0"
"2017-06-23","8:0","4","60"
"2017-06-23","8:15","4","127"
"2017-06-23","8:30","4","83"
"2017-06-23","8:45","4","7"
"2017-06-23","9:0","4","0"
"2017-06-23","9:15","4","17"
"2017-06-23","9:30","3","0"
"2017-06-23","9:45","3","16"
"2017-06-24","0:0","0","0"
"2017-06-24","0:15","0","0"
"2017-06-24","0:30","0","0"
"2017-06-24","0:45","0","0"
"2017-06-24","10:0","2","0"
"2017-06-24","10:15","2","0"
"2017-06-24","10:30","1","0"
"2017-06-24","10:45","1","0"
"2017-06-24","11:0","1","0"
"2017-06-24","11:15","1","0"
"2017-06-24","11:30","1","4"
"2017-06-24","11:45","1","3"
"2017-06-24","12:0","1","35"
"2017-06-24","12:15","1","0"
"2017-06-24","12:30","1","0"
"2017-06-24","12:45","1","0"
"2017-06-24","13:0","1","0"
"2017-06-24","13:15","1","6"
"2017-06-24","13:30","1","3"
"2017-06-24","13:45","1","0"
"2017-06-24","14:0","1","0"
"2017-06-24","14:15","1","5"
"2017-06-24","14:30","1","0"
"2017-06-24","14:45","1","0"
"2017-06-24","15:0","1","0"
"2017-06-24","15:15","1","2"
"2017-06-24","15:30","1","1"
"2017-06-24","15:45","1","0"
"2017-06-24","16:0","1","0"
"2017-06-24","16:15","1","0"
"2017-06-24","16:30","1","0"
"2017-06-24","16:45","1","5"
"2017-06-24","17:0","1","0"
"2017-06-24","17:15","1","15"
"2017-06-24","17:30","1","10"
"2017-06-24","17:45","1","4"
"2017-06-24","18:0","1","1"
"2017-06-24","18:15","1","0"
"2017-06-24","18:30","1","0"
"2017-06-24","18:45","1","0"
"2017-06-24","19:0","1","0"
"2017-06-24","19:15","1","0"
"2017-06-24","19:30","1","1"
"2017-06-24","19:45","1","4"
"2017-06-24","1:0","0","0"
"2017-06-24","1:15","0","0"
"2017-06-24","1:30","0","0"
"2017-06-24","1:45","0","0"
"2017-06-24","20:0","1","2"
"2017-06-24","20:15","1","2"
"2017-06-24","20:30","1","0"
"2017-06-24","20:45","1","0"
"2017-06-24","21:0","1","0"
"2017-06-24","21:15","1","0"
"2017-06-24","21:30","1","0"
"2017-06-24","21:45","1","0"
"2017-06-24","22:0","1","0"
"2017-06-24","22:15","1","10"
"2017-06-24","22:30","1","12"
"2017-06-24","22:45","1","0"
"2017-06-24","23:0","1","0"
"2017-06-24","23:15","1","0"
"2017-06-24","23:30","0","0"
"2017-06-24","23:45","0","0"
"2017-06-24","2:0","0","0"
"2017-06-24","2:15","0","0"
"2017-06-24","2:30","0","0"
"2017-06-24","2:45","0","0"
"2017-06-24","3:0","0","0"
"2017-06-24","3:15","0","0"
"2017-06-24","3:30","0","0"
"2017-06-24","3:45","0","0"
"2017-06-24","4:0","0","0"
"2017-06-24","4:15","0","0"
"2017-06-24","4:30","1","0"
"2017-06-24","4:45","1","0"
"2017-06-24","5:0","1","0"
"2017-06-24","5:15","1","0"
"2017-06-24","5:30","1","0"
"2017-06-24","5:45","1","0"
"2017-06-24","6:0","2","0"
"2017-06-24","6:15","2","0"
"2017-06-24","6:30","3","0"
"2017-06-24","6:45","3","30"
"2017-06-24","7:0","3","7"
"2017-06-24","7:15","3","18"
"2017-06-24","7:30","3","7"
